Trying 'B' 'E'..
{0000016F} Added   0000@12AE + 0007@12DA  = 0007
{0000017F} Added   0159@131A - 0159@131A  = 0000
{00000185} Added   0000@131A + 0152@129E  = 0152
{0000018E} Added   0159@1322 - 0159@1322  = 0000
{00000194} Added   0000@1322 + 0152@129E  = 0152
{000001A4} Added   0159@134C - 0159@134C  = 0000
{000001AA} Added   0000@134C + 0152@129E  = 0152
{000001B0} Added   0000@1290 + 0007@12AE  = 0007
{000001B6} Added   0152@129E + 0001@1368  = 0153
{000001D3} Added   0000@1376 + 0229@13A2  = 0229
{000001E3} Added   0159@13E2 - 0159@13E2  = 0000
{000001E9} Added   0000@13E2 + 0153@129E  = 0153
{000001F2} Added   0159@13EA - 0159@13EA  = 0000
{000001F8} Added   0000@13EA + 0153@129E  = 0153
{00000208} Added   0159@1414 - 0159@1414  = 0000
{0000020E} Added   0000@1414 + 0153@129E  = 0153
{00000214} Added   0000@1292 + 0229@1376  = 0229
{0000021A} Added   0153@129E + 0001@1430  = 0154
{0000076D} Added   0000@1EAA + 0154@129E  = 0154
{00000791} Added   0000@1EF2 + FFFE@1EE4  = FFFE
{00000797} Added   FFFE@1EF2 + 0154@1EAA  = 0152
{000007A9} Added   0783@1F50 - 0783@1F50  = 0000
{000007AF} Added   0000@1F50 + 0152@1EF2  = 0152
{000007B5} Added   0000@1ED6 + 0007@1290  = 0007
{000007CE} Added   0775@1F9A - 0775@1F9A  = 0000
{000007D4} Added   0000@1F9A + 0007@1ED6  = 0007
{000007DA} Changed 0000@1F66 + 0057       = 0057
{000007E9} Added   0000@23A6 + 0057@1F66  = 0057
{0000081D} Added   0000@2084 + 000E@2082  = 000E
{0000082C} Added   0000@2086 + 0104@2080  = 0104
{00000835} Added   0000@207A - 0001@2066  = FFFF
{00000855} Added   FFFF@207A + 0001@20A6  = 0000
{000008DA} Added   0057@23A6 - 0001@21B0  = 0056
{00000915} Added   0000@2274 + 000E@2272  = 000E
{00000924} Added   0000@2276 + 0006@2270  = 0006
{0000092D} Added   0000@226A - 0001@2256  = FFFF
{0000094D} Added   FFFF@226A + 0001@2296  = 0000
Print char: 'W'
{00000A13} Added   0007@1ED6 + 0001@2422  = 0008
{000007C5} Added   0057@1F66 - 0057@1F66  = 0000
{000007CE} Added   0007@1F9A - 0007@1F9A  = 0000
{000007D4} Added   0000@1F9A + 0008@1ED6  = 0008
{000007DA} Changed 0000@1F66 + 0065       = 0065
{000007E3} Added   0056@23A6 - 0056@23A6  = 0000
{000007E9} Added   0000@23A6 + 0065@1F66  = 0065
{00000817} Added   000E@2084 - 000E@2084  = 0000
{0000081D} Added   0000@2084 + 000E@2082  = 000E
{00000826} Added   0104@2086 - 0104@2086  = 0000
{0000082C} Added   0000@2086 + 0104@2080  = 0104
{00000835} Added   0000@207A - 0001@2066  = FFFF
{00000855} Added   FFFF@207A + 0001@20A6  = 0000
{000008DA} Added   0065@23A6 - 0001@21B0  = 0064
{0000090F} Added   000E@2274 - 000E@2274  = 0000
{00000915} Added   0000@2274 + 000E@2272  = 000E
{0000091E} Added   0006@2276 - 0006@2276  = 0000
{00000924} Added   0000@2276 + 0006@2270  = 0006
{0000092D} Added   0000@226A - 0001@2256  = FFFF
{0000094D} Added   FFFF@226A + 0001@2296  = 0000
Print char: 'e'
{00000A13} Added   0008@1ED6 + 0001@2422  = 0009
{000007C5} Added   0065@1F66 - 0065@1F66  = 0000
{000007CE} Added   0008@1F9A - 0008@1F9A  = 0000
{000007D4} Added   0000@1F9A + 0009@1ED6  = 0009
{000007DA} Changed 0000@1F66 + 006C       = 006C
{000007E3} Added   0064@23A6 - 0064@23A6  = 0000
{000007E9} Added   0000@23A6 + 006C@1F66  = 006C
{00000817} Added   000E@2084 - 000E@2084  = 0000
{0000081D} Added   0000@2084 + 000E@2082  = 000E
{00000826} Added   0104@2086 - 0104@2086  = 0000
{0000082C} Added   0000@2086 + 0104@2080  = 0104
{00000835} Added   0000@207A - 0001@2066  = FFFF
{00000855} Added   FFFF@207A + 0001@20A6  = 0000
{000008DA} Added   006C@23A6 - 0001@21B0  = 006B
{0000090F} Added   000E@2274 - 000E@2274  = 0000
{00000915} Added   0000@2274 + 000E@2272  = 000E
{0000091E} Added   0006@2276 - 0006@2276  = 0000
{00000924} Added   0000@2276 + 0006@2270  = 0006
{0000092D} Added   0000@226A - 0001@2256  = FFFF
{0000094D} Added   FFFF@226A + 0001@2296  = 0000
Print char: 'l'
{00000A13} Added   0009@1ED6 + 0001@2422  = 000A
{000007C5} Added   006C@1F66 - 006C@1F66  = 0000
{000007CE} Added   0009@1F9A - 0009@1F9A  = 0000
{000007D4} Added   0000@1F9A + 000A@1ED6  = 000A
{000007DA} Added   0000@1F66 + 0063@1000  = 0063
{000007E3} Added   006B@23A6 - 006B@23A6  = 0000
{000007E9} Added   0000@23A6 + 0063@1F66  = 0063
{00000817} Added   000E@2084 - 000E@2084  = 0000
{0000081D} Added   0000@2084 + 000E@2082  = 000E
{00000826} Added   0104@2086 - 0104@2086  = 0000
{0000082C} Added   0000@2086 + 0104@2080  = 0104
{00000835} Added   0000@207A - 0001@2066  = FFFF
{00000855} Added   FFFF@207A + 0001@20A6  = 0000
{000008DA} Added   0063@23A6 - 0001@21B0  = 0062
{0000090F} Added   000E@2274 - 000E@2274  = 0000
{00000915} Added   0000@2274 + 000E@2272  = 000E
{0000091E} Added   0006@2276 - 0006@2276  = 0000
{00000924} Added   0000@2276 + 0006@2270  = 0006
{0000092D} Added   0000@226A - 0001@2256  = FFFF
{0000094D} Added   FFFF@226A + 0001@2296  = 0000
Print char: 'c'
{00000A13} Added   000A@1ED6 + 0001@2422  = 000B
{000007C5} Added   0063@1F66 - 0063@1F66  = 0000
{000007CE} Added   000A@1F9A - 000A@1F9A  = 0000
{000007D4} Added   0000@1F9A + 000B@1ED6  = 000B
{000007DA} Added   0000@1F66 + 006F@1002  = 006F
{000007E3} Added   0062@23A6 - 0062@23A6  = 0000
{000007E9} Added   0000@23A6 + 006F@1F66  = 006F
{00000817} Added   000E@2084 - 000E@2084  = 0000
{0000081D} Added   0000@2084 + 000E@2082  = 000E
{00000826} Added   0104@2086 - 0104@2086  = 0000
{0000082C} Added   0000@2086 + 0104@2080  = 0104
{00000835} Added   0000@207A - 0001@2066  = FFFF
{00000855} Added   FFFF@207A + 0001@20A6  = 0000
{000008DA} Added   006F@23A6 - 0001@21B0  = 006E
{0000090F} Added   000E@2274 - 000E@2274  = 0000
{00000915} Added   0000@2274 + 000E@2272  = 000E
{0000091E} Added   0006@2276 - 0006@2276  = 0000
{00000924} Added   0000@2276 + 0006@2270  = 0006
{0000092D} Added   0000@226A - 0001@2256  = FFFF
{0000094D} Added   FFFF@226A + 0001@2296  = 0000
Print char: 'o'
{00000A13} Added   000B@1ED6 + 0001@2422  = 000C
{000007C5} Added   006F@1F66 - 006F@1F66  = 0000
{000007CE} Added   000B@1F9A - 000B@1F9A  = 0000
{000007D4} Added   0000@1F9A + 000C@1ED6  = 000C
{000007DA} Added   0000@1F66 + 006D@1004  = 006D
{000007E3} Added   006E@23A6 - 006E@23A6  = 0000
{000007E9} Added   0000@23A6 + 006D@1F66  = 006D
{00000817} Added   000E@2084 - 000E@2084  = 0000
{0000081D} Added   0000@2084 + 000E@2082  = 000E
{00000826} Added   0104@2086 - 0104@2086  = 0000
{0000082C} Added   0000@2086 + 0104@2080  = 0104
{00000835} Added   0000@207A - 0001@2066  = FFFF
