VM3149:14 R1: 02e7, R2: ba98, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0000,  ha: 1
VM3149:14 R1: 02c0, R2: ba98, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0001,  ha: 0
VM3149:14 R1: 02e6, R2: ba98, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0002,  ha: 0
VM3149:14 R1: 02e6, R2: 0000, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0003,  ha: 0
VM3149:14 R1: 02e6, R2: 0001, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0004,  ha: 0
VM3149:14 R1: 02e6, R2: 0001, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0005,  ha: 0, sf: 1, sa: 02e6, sd: 0001
VM3149:14 R1: 02e6, R2: 0001, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0006,  ha: 0, sf: 1, sa: 02e7, sd: 0000
VM3149:14 R1: 1000, R2: 0001, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0007,  ha: 0
VM3149:14 R1: 1000, R2: 0001, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0008,  ha: 0
VM3149:14 R1: 1000, R2: 0024, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0009,  ha: 0, lf: 1, la: 1000, ld: 0024
VM3149:14 R1: 0000, R2: 0024, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 000a,  ha: 0
VM3149:14 R1: 0024, R2: 0024, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 000b,  ha: 0
VM3149:14 R1: 0024, R2: 0024, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 000f,  ha: 0
VM3149:14 R1: 0000, R2: 0024, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0010,  ha: 0
VM3149:14 R1: 0003, R2: 0024, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0011,  ha: 0
VM3149:14 R1: 0003, R2: 0000, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0012,  ha: 0
VM3149:14 R1: 0003, R2: 0001, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0013,  ha: 0
VM3149:14 R1: 0003, R2: 0001, R3: 89ab, R4: e000, R5: 1337, R6: 02c0, R7: 03ff, R8: 0014,  ha: 0
VM3149:14 R1: 0003, R2: 0001, R3: 89ab, R4: e000, R5: 1337, R6: 02d7, R7: 03ff, R8: 0015,  ha: 0
VM3149:14 R1: 0003, R2: 0001, R3: 89ab, R4: e000, R5: 1337, R6: 02d7, R7: 0016, R8: 02d7,  ha: 0
VM3149:14 R1: 0003, R2: 0001, R3: 02c0, R4: e000, R5: 1337, R6: 02d7, R7: 0016, R8: 02d8,  ha: 0
VM3149:14 R1: 0003, R2: 0001, R3: 02e6, R4: e000, R5: 1337, R6: 02d7, R7: 0016, R8: 02d9,  ha: 0
VM3149:14 R1: 0003, R2: 0001, R3: 02e6, R4: 0001, R5: 1337, R6: 02d7, R7: 0016, R8: 02da,  ha: 0, lf: 1, la: 02e6, ld: 0001
VM3149:14 R1: 0003, R2: 0001, R3: 02e6, R4: 0003, R5: 1337, R6: 02d7, R7: 0016, R8: 02db,  ha: 0
VM3149:14 R1: 0003, R2: 0001, R3: 02e6, R4: 0003, R5: 1337, R6: 02d7, R7: 0016, R8: 02dc,  ha: 0, sf: 1, sa: 02e6, sd: 0003
VM3149:14 R1: 0003, R2: 0001, R3: 02e6, R4: 0000, R5: 1337, R6: 02d7, R7: 0016, R8: 02dd,  ha: 0, lf: 1, la: 02e7, ld: 0000
VM3149:14 R1: 0003, R2: 0001, R3: 02e6, R4: 0001, R5: 1337, R6: 02d7, R7: 0016, R8: 02de,  ha: 0
VM3149:14 R1: 0003, R2: 0001, R3: 02e6, R4: 0001, R5: 1337, R6: 02d7, R7: 0016, R8: 02df,  ha: 0, sf: 1, sa: 02e7, sd: 0001
VM3149:14 R1: 0003, R2: 0001, R3: 02e6, R4: 0001, R5: 1337, R6: 02d7, R7: 0016, R8: 0016,  ha: 0
VM3149:14 R1: 1000, R2: 0001, R3: 02e6, R4: 0001, R5: 1337, R6: 02d7, R7: 0016, R8: 0017,  ha: 0
VM3149:14 R1: 1000, R2: 0001, R3: 02e6, R4: 0001, R5: 1337, R6: 02d7, R7: 0016, R8: 0018,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 02e6, R4: 0001, R5: 1337, R6: 02d7, R7: 0016, R8: 0019,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0001, R5: 1337, R6: 02d7, R7: 0016, R8: 001a,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0001, R5: 1337, R6: 02d7, R7: 0016, R8: 001b,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 1337, R6: 02d7, R7: 0016, R8: 001c,  ha: 0, lf: 1, la: 1001, ld: 0066
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0000, R6: 02d7, R7: 0016, R8: 001d,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0030, R6: 02d7, R7: 0016, R8: 001e,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0030, R6: 0001, R7: 0016, R8: 001f,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0030, R6: 0001, R7: 0016, R8: 0020,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0039, R6: 0001, R7: 0016, R8: 0021,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0039, R6: 0000, R7: 0016, R8: 0022,  ha: 0
VM3149:14 R1: 1000, R2: 1001, R3: 1025, R4: 0066, R5: 0039, R6: 0000, R7: 0016, R8: 0024,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 0066, R5: 0039, R6: 0000, R7: 0016, R8: 0025,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 0066, R5: 0039, R6: 0000, R7: 0016, R8: 001a,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 0066, R5: 0039, R6: 0000, R7: 0016, R8: 001b,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0039, R6: 0000, R7: 0016, R8: 001c,  ha: 0, lf: 1, la: 1002, ld: 006c
